client	skill	status	canonical_sha256_16	client_sha256_16	difference_kind	missing_files	extra_files	changed_files	canonical_path	client_path
zcode	algorithm-active-recall-loop	same	386140e76d4370e1	386140e76d4370e1	same				distillation/skills/algorithm-active-recall-loop/SKILL.md	/Users/zhaowenqiang/.zcode/skills/algorithm-active-recall-loop/SKILL.md
zcode	algorithm-problem-framework-selection	same	8c570e8a2bcb0a95	8c570e8a2bcb0a95	same				distillation/skills/algorithm-problem-framework-selection/SKILL.md	/Users/zhaowenqiang/.zcode/skills/algorithm-problem-framework-selection/SKILL.md
zcode	algorithm-state-and-invariant-derivation	same	7f6323321f0ee1d6	7f6323321f0ee1d6	same				distillation/skills/algorithm-state-and-invariant-derivation/SKILL.md	/Users/zhaowenqiang/.zcode/skills/algorithm-state-and-invariant-derivation/SKILL.md
zcode	cmake-source-discovery-incremental-build-audit	same	5f6d9eea9257c059	5f6d9eea9257c059	same				distillation/skills/cmake-source-discovery-incremental-build-audit/SKILL.md	/Users/zhaowenqiang/.zcode/skills/cmake-source-discovery-incremental-build-audit/SKILL.md
zcode	embedded-arm-linux-boot-chain	same	dc287d2a0f791661	dc287d2a0f791661	same				distillation/skills/embedded-arm-linux-boot-chain/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-arm-linux-boot-chain/SKILL.md
zcode	embedded-bus-selection	same	a3dce7ab2a099687	a3dce7ab2a099687	same				distillation/skills/embedded-bus-selection/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-bus-selection/SKILL.md
zcode	embedded-c-storage-linkage-audit	same	4cb7510f65d5e3f5	4cb7510f65d5e3f5	same				distillation/skills/embedded-c-storage-linkage-audit/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-c-storage-linkage-audit/SKILL.md
zcode	embedded-c-struct-binary-contract-audit	same	fac8a2ab417dc432	fac8a2ab417dc432	same				distillation/skills/embedded-c-struct-binary-contract-audit/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-c-struct-binary-contract-audit/SKILL.md
zcode	embedded-cpp-resource-lifetime	same	645f85b9d3eb35c1	645f85b9d3eb35c1	same				distillation/skills/embedded-cpp-resource-lifetime/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-cpp-resource-lifetime/SKILL.md
zcode	embedded-interview-layered-answer	same	738defe33b7a803b	738defe33b7a803b	same				distillation/skills/embedded-interview-layered-answer/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-interview-layered-answer/SKILL.md
zcode	embedded-learning-state-and-active-recall	same	71a6160a8f04c4ee	71a6160a8f04c4ee	same				distillation/skills/embedded-learning-state-and-active-recall/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-learning-state-and-active-recall/SKILL.md
zcode	embedded-memory-lifetime-and-pool-design	same	b7ab50c834a4c022	b7ab50c834a4c022	same				distillation/skills/embedded-memory-lifetime-and-pool-design/SKILL.md	/Users/zhaowenqiang/.zcode/skills/embedded-memory-lifetime-and-pool-design/SKILL.md
